Section,Field,Value,Model,Strategy,Fold,RMSE,MAE
Detailed Results,Fold 2,Baseline CV,LSTM,Baseline CV,2,30.8302878808717,24.19412242415789
Detailed Results,Fold 3,Baseline CV,LSTM,Baseline CV,3,14.042888483302907,11.622438516477017
Detailed Results,Fold 4,Baseline CV,LSTM,Baseline CV,4,79.28775511823082,72.70482182427253
Detailed Results,Fold 5,Baseline CV,LSTM,Baseline CV,5,71.17141446733594,59.42574674261387
Detailed Results,Fold 1,Adaptive CV,GRU,Adaptive CV,1,7.41000057241309,5.674750009864908
Detailed Results,Fold 2,Adaptive CV,GRU,Adaptive CV,2,11.980046992518599,11.509445941591798
Detailed Results,Fold 3,Adaptive CV,GRU,Adaptive CV,3,11.962917484622743,10.624736562976791
Detailed Results,Fold 4,Adaptive CV,GRU,Adaptive CV,4,9.523981813298825,8.856552138108917
Detailed Results,Fold 5,Adaptive CV,GRU,Adaptive CV,5,19.621992059772943,17.781910613384653
Detailed Results,Fold 6,Adaptive CV,GRU,Adaptive CV,6,11.170060771326053,8.9800890765625
Detailed Results,Fold 7,Adaptive CV,GRU,Adaptive CV,7,14.811651008079883,12.886783604329429
Detailed Results,Fold 8,Adaptive CV,GRU,Adaptive CV,8,24.982628573023582,21.339893119818477
Detailed Results,Fold 9,Adaptive CV,GRU,Adaptive CV,9,11.71570597867842,9.572978301654413
Detailed Results,Fold 10,Adaptive CV,GRU,Adaptive CV,10,26.824604503437705,23.743418963327212
Detailed Results,Fold 11,Adaptive CV,GRU,Adaptive CV,11,32.645472385255616,32.196585260167744
Detailed Results,Fold 12,Adaptive CV,GRU,Adaptive CV,12,31.16806524674942,24.852435841498163
Detailed Results,Fold 13,Adaptive CV,GRU,Adaptive CV,13,29.088707942072624,24.563245141634113
Detailed Results,Fold 14,Adaptive CV,GRU,Adaptive CV,14,84.48856992465774,82.45894088907227
Detailed Results,Fold 1,Baseline CV,GRU,Baseline CV,1,30.293766120640388,28.098173273458734
Detailed Results,Fold 2,Baseline CV,GRU,Baseline CV,2,17.145494883775207,13.14537015148749
Detailed Results,Fold 3,Baseline CV,GRU,Baseline CV,3,13.844197189914555,10.635285311447012
Detailed Results,Fold 4,Baseline CV,GRU,Baseline CV,4,66.21295976039187,63.0254985449332
Detailed Results,Fold 5,Baseline CV,GRU,Baseline CV,5,64.90180619031152,55.43622962990451
Detailed Results,Fold 1,Adaptive CV,LINEAR,Adaptive CV,1,8.753388264142302,7.604218687471573
Detailed Results,Fold 2,Adaptive CV,LINEAR,Adaptive CV,2,12.117958570242548,11.39590869852506
Detailed Results,Fold 3,Adaptive CV,LINEAR,Adaptive CV,3,12.123129282176981,11.931648661105767
Detailed Results,Fold 4,Adaptive CV,LINEAR,Adaptive CV,4,16.976741391957322,16.361003272504277
Detailed Results,Fold 5,Adaptive CV,LINEAR,Adaptive CV,5,21.464246109586192,19.463947349157372
Detailed Results,Fold 6,Adaptive CV,LINEAR,Adaptive CV,6,10.701699512268055,9.872978086837481
Detailed Results,Fold 7,Adaptive CV,LINEAR,Adaptive CV,7,12.035346865124534,10.93611431158013
Detailed Results,Fold 8,Adaptive CV,LINEAR,Adaptive CV,8,50.18784516263828,46.4430291903392
Detailed Results,Fold 9,Adaptive CV,LINEAR,Adaptive CV,9,12.05240356059657,10.152182560697394
Detailed Results,Fold 10,Adaptive CV,LINEAR,Adaptive CV,10,10.41011801824566,8.949097549081458
Detailed Results,Fold 11,Adaptive CV,LINEAR,Adaptive CV,11,74.46569867767786,69.72427195726709
Detailed Results,Fold 12,Adaptive CV,LINEAR,Adaptive CV,12,31.58191033129852,24.48371823306719
Detailed Results,Fold 13,Adaptive CV,LINEAR,Adaptive CV,13,49.06766182515577,47.18806097837272
Detailed Results,Fold 14,Adaptive CV,LINEAR,Adaptive CV,14,99.80634531879174,95.11047402559095
Detailed Results,Fold 1,Baseline CV,LINEAR,Baseline CV,1,27.63031271405005,27.16246241365596
Detailed Results,Fold 2,Baseline CV,LINEAR,Baseline CV,2,25.890175789442285,22.11878193113842
Detailed Results,Fold 3,Baseline CV,LINEAR,Baseline CV,3,16.034137496798493,13.44000417794412
Detailed Results,Fold 4,Baseline CV,LINEAR,Baseline CV,4,88.25888245435803,86.71879229327368
Detailed Results,Fold 5,Baseline CV,LINEAR,Baseline CV,5,153.53753945434914,140.32676917985472
