Date,Close,High,Low,Open,Volume
9/7/2015,38.60286331,39.20982723,38.58552111,38.8022937,32424700
10/7/2015,38.6809082,39.14046512,38.64622379,39.02774242,25465800
13/7/2015,39.4873085,39.55667403,38.97572489,39.00173655,28178300
14/7/2015,39.55666351,39.85147438,39.2878676,39.40925973,22880300
15/7/2015,39.67805862,39.79078131,39.39192049,39.60869311,26629600
16/7/2015,40.45845032,40.48446198,39.86015895,39.89484006,26271700
17/7/2015,40.42375565,40.56248998,40.11160256,40.36305958,29467100
20/7/2015,40.68388367,40.86597518,40.26768063,40.44977215,30631900
21/7/2015,40.99603271,41.03938988,40.30236106,40.56248752,42781900
22/7/2015,39.4873085,40.69256396,39.19249755,39.40059745,59152400
23/7/2015,39.98154068,40.08559061,39.10577748,39.25318458,33934000
24/7/2015,39.83413315,40.16362844,39.71274102,39.80812149,32333200
27/7/2015,39.32255554,39.89483518,39.23584781,39.8341391,39701400
28/7/2015,39.31388855,39.57401507,38.83698937,39.52199175,34328900
29/7/2015,40.13762665,40.56249921,39.24452104,39.36591651,40945900
30/7/2015,40.64920807,41.10009558,39.82547134,40.11160952,39777900
31/7/2015,40.49312592,41.07407495,40.31970716,41.00470943,31201500
3/8/2015,40.58852005,40.75326611,40.27636684,40.73592389,24125900
4/8/2015,41.22148132,41.36888511,40.475783,40.53647906,33403900
5/8/2015,41.25616455,41.97584789,41.22148014,41.60299874,26959700
6/8/2015,40.42375565,41.42091098,40.17230193,41.36888436,27368000
7/8/2015,40.52781296,40.56249407,40.11160659,40.22432929,19163000
10/8/2015,41.03939819,41.17813255,40.61452236,40.70990285,23079900
11/8/2015,40.24167252,40.70122945,39.79945779,40.59717951,29237400
12/8/2015,40.52781296,40.66654731,39.63470746,40.05091052,30181400
13/8/2015,40.51914597,40.83996858,40.31104606,40.80528747,22627200
14/8/2015,40.75326538,40.83997313,40.33706222,40.34573167,21473400
17/8/2015,41.0307312,41.14345392,40.38041318,40.5885164,21099700
18/8/2015,41.25766373,41.39731297,40.76016308,40.88235576,23574100
19/8/2015,40.68160629,41.09182737,40.41103445,40.82998215,31485500
20/8/2015,39.85243607,40.55941215,39.85243607,40.21028742,36238200
21/8/2015,37.59186935,39.69533813,37.59186935,39.5382323,70053100
24/8/2015,36.37865829,37.26019341,34.66795445,35.30510425,88753700
25/8/2015,35.32256699,37.74024734,35.2527407,37.15546381,70616600
26/8/2015,37.27764893,37.39111496,35.83751695,36.66668233,63408000
27/8/2015,38.31629562,38.35993538,37.46967029,37.73151218,50943200
28/8/2015,38.34246826,38.53448715,37.87115099,37.87988094,28246700
31/8/2015,37.98463058,38.34248198,37.61804924,38.01954373,34441700
1/9/2015,36.50084686,37.17290973,36.36119765,36.80632847,49688900
2/9/2015,37.84497833,37.8624349,36.55322211,36.9721698,37671500
3/9/2015,37.9671669,38.38611455,37.77514798,37.88861401,28285200
4/9/2015,37.19036865,37.56567655,36.83251732,37.36493101,37138800
8/9/2015,38.3075676,38.40357707,37.70533088,37.79261041,32469800
9/9/2015,37.59186935,38.75270649,37.4522201,38.58687071,33469500
10/9/2015,37.78388596,38.22029027,37.3125685,37.63550676,31366600
11/9/2015,37.94971848,38.04572796,37.47840102,37.65296341,27132500
14/9/2015,37.56567764,37.91479904,37.40857185,37.90607242,23656000
15/9/2015,38.3861084,38.65668017,37.60058293,37.69658905,28882200
16/9/2015,38.66541672,38.735243,38.2639256,38.37739164,23372200
17/9/2015,38.62176895,39.2763752,38.47339313,38.65668208,32768200
18/9/2015,37.94971848,38.39485274,37.81879918,37.96717505,63143700
21/9/2015,38.49956894,38.81378041,38.05443491,38.07189147,26177200
22/9/2015,38.31629562,38.4472149,37.80133846,37.86243479,28085900
23/9/2015,38.29012299,38.55196497,37.97591127,38.34249272,17145200
24/9/2015,38.32503128,38.51705027,37.76643422,37.92354006,27905600
25/9/2015,38.35118103,39.04070013,38.19407533,38.82249813,29384600
28/9/2015,37.78388596,38.48213219,37.71405967,38.25520341,27613800
29/9/2015,37.91479492,38.02826094,37.57440019,37.8536986,32763600
30/9/2015,38.63051224,38.66542539,38.10682834,38.29884732,34958900
1/10/2015,38.93598938,39.05818204,38.18537351,39.05818204,28657900
2/10/2015,39.77388382,39.77388382,38.33374844,38.63923341,41839000
5/10/2015,40.69906998,40.92599877,39.88735763,39.9309974,34369300
6/10/2015,40.80378723,41.17909506,40.34119991,40.43720935,27017200
7/10/2015,40.84742355,41.3274674,40.10553791,41.10926535,27711500
8/10/2015,41.41475296,41.47584927,40.58558444,40.63795413,33772700
9/10/2015,41.11800385,41.49331172,40.95216812,41.41475883,28600600
12/10/2015,41.02200699,41.08310333,40.58560266,41.00455042,19769100
13/10/2015,40.92598343,41.1354589,40.6379584,40.6379584,19987800
14/10/2015,40.74269867,41.10927662,40.61177607,40.71651548,24697800
15/10/2015,41.03071976,41.04817632,40.61177214,41.03071976,27189400
16/10/2015,41.46713638,41.49332291,40.93472592,41.03946202,26450300
19/10/2015,41.56313705,41.79006911,41.03945332,41.3885747,29387600
20/10/2015,41.69404984,41.72896296,41.03944366,41.40602152,30802200
21/10/2015,41.19655991,41.88607939,41.11800701,41.82497973,25144300
22/10/2015,41.92099762,42.72398329,41.1005587,41.4845933,56637100
23/10/2015,46.14538574,47.19275664,45.60424539,45.64788515,135227100
26/10/2015,47.34986115,47.41095747,45.82244627,45.84862946,64633300
27/10/2015,46.86107254,47.4545824,46.76506643,47.12291767,50999900
28/10/2015,47.11420059,47.11420059,46.13665604,46.73016607,47000800
29/10/2015,46.5730629,46.98328396,46.45087024,46.7301687,30202100
30/10/2015,45.94464874,47.12294247,45.92719217,46.53815892,46619800
2/11/2015,46.46832275,46.57305883,45.92717912,46.12792467,30285000
3/11/2015,47.26257706,47.47204921,46.17156654,46.19774972,36596900
4/11/2015,47.48078156,47.89972922,47.18402655,47.28876263,37087800
5/11/2015,47.46331787,47.74261627,47.13164977,47.55932732,31468500
6/11/2015,47.93463898,47.98700868,47.09674366,47.21020969,32851200
9/11/2015,47.27130508,47.89099828,46.74762135,47.61169984,32513100
10/11/2015,46.70398712,47.24513086,46.49451492,47.19276114,55283700
11/11/2015,46.82618713,47.30623124,46.66035135,46.8698269,36516300
12/11/2015,46.53814697,47.11420042,46.42468094,46.67779619,35361100
13/11/2015,46.11920547,46.51197,45.84863362,46.31995105,36848200
16/11/2015,46.93090439,47.03564046,46.12791899,46.32866784,32165200
17/11/2015,46.54429245,47.03635757,46.43884705,46.72002808,31551300
18/11/2015,47.31753159,47.43176241,46.55307099,46.57064522,29710000
19/11/2015,47.39661789,48.02927684,47.25602738,47.44055515,28149200
20/11/2015,47.61628723,47.71294382,46.80789273,47.66900992,37147600
23/11/2015,47.61628723,47.85353432,47.22966421,47.66900992,28235900
24/11/2015,47.66901016,47.83596033,47.08028851,47.37904038,24600000
25/11/2015,47.1769371,47.65143123,47.1769371,47.52841498,21005100
27/11/2015,47.38783646,47.51964153,47.26482017,47.27360561,9009100
30/11/2015,47.75688553,48.29288792,47.44934482,47.92383907,56241400
1/12/2015,48.52134323,48.53012867,47.71294535,47.80960195,39952800
2/12/2015,48.51254654,49.17156502,48.38074485,48.60920312,47274900
3/12/2015,47.62508011,49.0046255,47.387833,48.75859295,38627800
4/12/2015,49.12765121,49.40883228,47.53721808,47.55479232,43963700
7/12/2015,49.0397644,49.18035488,48.58284451,49.02219018,30709800
8/12/2015,49.02220535,49.2945976,48.31925274,48.74102431,32878000
9/12/2015,48.31046295,49.09249793,47.89747683,48.65315213,36373200
10/12/2015,48.56528091,48.90797007,48.33681924,48.67072296,31775800
11/12/2015,47.50206375,48.41590036,47.45812649,48.07321122,39549500
14/12/2015,48.45103836,48.51254648,47.16814985,47.73930054,46768900
15/12/2015,48.50377274,49.11885747,48.40711613,48.90797003,39843000
16/12/2015,49.32095718,49.42639923,48.11714736,48.80252904,37503300
17/12/2015,48.94312286,49.90089684,48.79374355,49.52305919,41280900
18/12/2015,47.56356812,49.20672015,47.47569696,49.00462153,84684200
21/12/2015,48.17865372,48.63557032,47.65143684,48.22258762,37246300
22/12/2015,48.63557434,48.74980518,47.88868789,48.31924821,28322200
23/12/2015,49.04855728,49.10127998,48.71465359,48.94311524,27279800
24/12/2015,48.91675949,49.17158086,48.70587539,49.08371304,9558500
28/12/2015,49.16279602,49.16279602,48.31046409,48.63557905,22458300
29/12/2015,49.68999863,49.95360538,49.25944171,49.46154033,27731400
30/12/2015,49.47911835,49.89210106,49.46154412,49.61970885,21704500
31/12/2015,48.74980927,49.37367949,48.69708656,49.24187776,27334100
4/1/2016,48.15229034,48.15229034,46.91333555,47.73051885,53778000
5/1/2016,48.37195969,48.67071489,47.92382856,48.26651766,34079700
6/1/2016,47.49326706,47.80081104,47.13300374,47.73051413,39518900
7/1/2016,45.84133148,47.00120728,45.75346368,46.30704023,56564900
8/1/2016,45.98192978,46.81668406,45.82376503,46.01707489,48754000
11/1/2016,45.95557022,46.43884993,45.21746914,46.14009465,36943800
12/1/2016,46.37735367,46.65853479,45.74469783,46.35977943,36095500
13/1/2016,45.37562943,47.51085008,45.07687418,47.27360297,66883600
14/1/2016,46.66730499,46.93969721,45.31411931,45.69195691,52381900
