Date,Close,High,Low,Open,Volume
2/1/2015,24.26104927,24.72927234,23.82167345,24.71817633,212818400
5/1/2015,23.57756996,24.110146,23.39116928,24.03025951,257142000
6/1/2015,23.57979584,23.83942615,23.218087,23.64192941,263188400
7/1/2015,23.91043282,24.01029009,23.67743024,23.78838353,160423600
8/1/2015,24.82912445,24.88682063,24.12124199,24.23885389,237458000
9/1/2015,24.85575867,25.13092238,24.45632611,25.00221614,214798000
12/1/2015,24.24329185,24.99333542,24.14343458,24.9866785,198603200
13/1/2015,24.45854378,25.03106317,24.1678467,24.72705054,268367600
14/1/2015,24.36533928,24.51845364,24.07686009,24.19668983,195826400
15/1/2015,23.7040596,24.42303641,23.66855543,24.40972256,240056000
16/1/2015,23.51987267,23.87270493,23.3445663,23.75065566,314053200
20/1/2015,24.12568474,24.18116139,23.63305184,23.93040586,199599600
21/1/2015,24.30986786,24.64494559,24.025826,24.17672255,194303600
22/1/2015,24.94229507,24.95782846,24.34758549,24.46741522,215185600
23/1/2015,25.07100677,25.2418741,24.74924121,24.92011023,185859200
26/1/2015,25.09763527,25.37723805,25.03106431,25.23965535,222460000
27/1/2015,24.21888351,24.96005236,24.19447366,24.94673681,382274800
28/1/2015,25.58805084,26.21160957,25.58805084,26.10287411,585908400
29/1/2015,26.38469696,26.44905008,25.64352798,25.81217749,337745600
30/1/2015,25.99858093,26.62879493,25.92978873,26.27374467,334982000
2/2/2015,26.32477379,26.44460353,25.75891309,26.19606927,250956400
3/2/2015,26.329216,26.42685375,26.09843296,26.29592968,207662800
4/2/2015,26.531147,26.74195924,26.25376381,26.2959266,280598800
5/2/2015,26.7205162,26.78512329,26.56679584,26.7383375,168984800
6/2/2015,26.49550247,26.78957508,26.38856621,26.73833439,174826400
9/2/2015,26.67150497,26.69823777,26.38411552,26.41085002,155559200
10/2/2015,27.18390656,27.21286935,26.76953287,26.77175947,248034000
11/2/2015,27.82106018,27.82997168,27.29083878,27.35098927,294247200
12/2/2015,28.17304993,28.40028883,27.97477381,28.08393667,297898000
13/2/2015,28.31118774,28.35574354,27.99260884,28.35574354,217088800
17/2/2015,28.47826767,28.71218981,28.27553492,28.40252079,252609600
18/2/2015,28.6765461,28.68991249,28.39361154,28.43371244,179566800
19/2/2015,28.61639404,28.74560822,28.58966125,28.62307724,149449600
20/2/2015,28.850317,28.850317,28.52728324,28.65426743,195793600
23/2/2015,29.63005829,29.63005829,28.88596591,28.96616771,283896400
24/2/2015,29.44514847,29.76372906,29.22236608,29.61669186,276912400
25/2/2015,28.69213867,29.31815996,28.5495581,29.30924676,298846800
26/2/2015,29.05527878,29.15553017,28.20647842,28.6921424,365150000
27/2/2015,28.61862373,29.08869465,28.56961134,28.96170708,248059200
2/3/2015,28.75897408,29.02408563,28.58297751,28.79462007,192386800
3/3/2015,28.81912613,28.85477212,28.53619158,28.73001455,151265200
4/3/2015,28.63644791,28.8636869,28.58743891,28.7612089,126665200
5/3/2015,28.16191864,28.68322854,28.01710977,28.64535595,226068400
6/3/2015,28.20424271,28.82134901,28.12849753,28.60524988,291368400
9/3/2015,28.32454681,28.86590967,27.86115913,28.50722827,354114000
10/3/2015,27.73862839,28.3423683,27.58045314,28.16191515,275426400
11/3/2015,27.23291969,27.79655888,27.20395859,27.79210398,275756000
12/3/2015,27.72525787,27.82551093,27.09701183,27.24850386,193450800
13/3/2015,27.53367233,27.93690958,27.30866336,27.71412721,207309200
16/3/2015,27.83666229,27.83666229,27.37327616,27.59828517,143497200
17/3/2015,28.3022747,28.3646535,27.99260732,28.04830292,204092400
18/3/2015,28.62084579,28.77456614,28.15300325,28.2933555,261083600
19/3/2015,28.40475082,28.79461995,28.38247293,28.68322877,183238000
20/3/2015,28.04829407,28.60524816,27.88343563,28.57183217,274780400
23/3/2015,28.3401432,28.48272378,28.18642283,28.32009361,150838800
24/3/2015,28.22429466,28.52504878,28.19533187,28.34459733,131369200
25/3/2015,27.48688698,28.25325884,27.48688698,28.19088005,206620800
26/3/2015,27.67848206,27.82106264,27.31311909,27.34876509,190291600
27/3/2015,27.45792961,27.7809634,27.38218441,27.7520023,158184800
30/3/2015,28.15300941,28.15969261,27.62501457,27.63615437,188398800
31/3/2015,27.72080803,28.17973913,27.70521333,28.09062585,168362400
1/4/2015,27.68071365,27.87453496,27.42451355,27.80769956,162485600
2/4/2015,27.91908455,27.97255184,27.6673411,27.85447746,128880400
6/4/2015,28.37133408,28.40698007,27.69853208,27.72972147,148776000
7/4/2015,28.07280159,28.54287074,28.06611839,28.43593617,140049200
8/4/2015,27.98146629,28.15969288,27.84111401,28.03716189,149316800
9/4/2015,28.19533157,28.19978817,27.7720465,28.03715632,129936000
10/4/2015,28.31563759,28.34014378,27.90571886,28.05943753,160752000
13/4/2015,28.25994301,28.64313065,28.20647572,28.59857146,145460400
14/4/2015,28.13741302,28.35796709,28.05052804,28.29336,102098400
15/4/2015,28.24434853,28.32232202,28.07280685,28.16192014,115881600
16/4/2015,28.10845184,28.31563952,28.09508544,28.13295804,113476000
17/4/2015,27.79209709,28.10176441,27.72749001,27.97032364,207828000
20/4/2015,28.42703056,28.54287665,27.88566933,27.97478262,188217200
21/4/2015,28.27330971,28.56069745,28.21984072,28.53842126,129740400
22/4/2015,28.65426636,28.70996195,28.14186794,28.29113172,150618000
23/4/2015,28.88819695,29.05528377,28.5473401,28.58298611,183083600
24/4/2015,29.02408218,29.10205736,28.79016005,29.07086797,178103600
27/4/2015,29.55207634,29.65901431,29.21790283,29.47633116,387816800
28/4/2015,29.08646965,29.97314265,28.86591725,29.95532305,475696000
29/4/2015,28.65872383,29.31593114,28.58297864,28.99735398,253544400
30/4/2015,27.88121223,28.65872218,27.75422636,28.65872218,332781600
