Date,Close,High,Low,Open,Volume
2/1/2015,0.483065605,0.486665225,0.475386454,0.483065605,113680000
5/1/2015,0.474906415,0.484505351,0.472746672,0.483065504,197952000
6/1/2015,0.460508138,0.476106366,0.460028198,0.475626426,197764000
7/1/2015,0.459308237,0.467947266,0.457868389,0.463867707,321808000
8/1/2015,0.476586223,0.479465918,0.464347604,0.464587588,283780000
9/1/2015,0.478505969,0.482105588,0.471786728,0.478266014,209540000
12/1/2015,0.472506672,0.479945837,0.468187158,0.479705853,190732000
13/1/2015,0.471786797,0.48570522,0.46842719,0.476106312,236720000
14/1/2015,0.473706633,0.475146481,0.465547571,0.466747435,155260000
15/1/2015,0.470347017,0.479945926,0.470107033,0.477066259,188932000
16/1/2015,0.478986025,0.479465965,0.468187224,0.469627071,181512000
20/1/2015,0.480425864,0.484985306,0.474426518,0.482345623,140308000
21/1/2015,0.487145066,0.488344958,0.474426507,0.477786142,144780000
22/1/2015,0.495544165,0.496984013,0.483065561,0.488104971,159712000
23/1/2015,0.496984065,0.497943944,0.491944597,0.496024128,120416000
26/1/2015,0.49482432,0.497224048,0.491704668,0.49482432,133240000
27/1/2015,0.471066922,0.487625057,0.470107014,0.487145089,357948000
28/1/2015,0.463387847,0.478746121,0.463147863,0.476826333,272728000
29/1/2015,0.474666595,0.477306279,0.461468065,0.463627837,235340000
30/1/2015,0.460748076,0.476826272,0.460028181,0.471306894,298200000
2/2/2015,0.470826954,0.472746741,0.454508802,0.463627772,259604000
3/2/2015,0.48258549,0.483065458,0.471786719,0.474186446,183468000
4/2/2015,0.48378545,0.489304828,0.479705892,0.481145768,181516000
5/2/2015,0.491704524,0.491944479,0.483785419,0.48426533,140448000
6/2/2015,0.48954463,0.496983822,0.487384859,0.491224433,210524000
9/2/2015,0.489064932,0.490504723,0.483545553,0.486665204,273944000
10/2/2015,0.502743363,0.502983319,0.487385063,0.489544834,226204000
11/2/2015,0.499383748,0.503943189,0.496024084,0.503943189,320832000
12/2/2015,0.53513962,0.539939074,0.524820789,0.52794044,676904000
13/2/2015,0.535379469,0.536099393,0.525780564,0.533939622,310084000
17/2/2015,0.537059367,0.539699106,0.531060078,0.534419684,203340000
18/2/2015,0.530820072,0.537299386,0.529860192,0.536339449,170948000
19/2/2015,0.532259881,0.538499182,0.529860155,0.537539303,169432000
20/2/2015,0.536099792,0.536339747,0.527940727,0.531780304,157752000
23/2/2015,0.531780005,0.535859534,0.529140265,0.535859534,125008000
24/2/2015,0.537440956,0.537440956,0.529009601,0.533827534,149356000
25/2/2015,0.533345878,0.537682054,0.530936911,0.535273029,123820000
26/2/2015,0.53479135,0.537923014,0.530455174,0.533827775,152864000
27/2/2015,0.53141886,0.534550524,0.529491651,0.533346011,157492000
2/3/2015,0.544427097,0.54731788,0.529250598,0.529973294,301512000
3/3/2015,0.534309387,0.54298168,0.532623116,0.540331834,160344000
4/3/2015,0.540331841,0.541536295,0.530214156,0.532382243,226840000
5/3/2015,0.550690413,0.551653988,0.538886456,0.540331848,323056000
6/3/2015,0.543222725,0.550208691,0.542740909,0.547558844,257392000
9/3/2015,0.544667959,0.548763255,0.542258992,0.543463504,222388000
10/3/2015,0.554062903,0.557676382,0.546113306,0.547076882,527212000
11/3/2015,0.551172137,0.561289763,0.549726746,0.554062863,262120000
12/3/2015,0.546113551,0.549967911,0.535754983,0.545872671,406972000
13/3/2015,0.546836257,0.548281649,0.535995872,0.543463713,359288000
16/3/2015,0.553340197,0.556712796,0.547558688,0.551172167,236956000
17/3/2015,0.560085535,0.560326415,0.548281576,0.552135936,299900000
18/3/2015,0.550931513,0.562976354,0.545872698,0.560085627,413844000
19/3/2015,0.559362829,0.56128998,0.548763383,0.552858622,310756000
20/3/2015,0.565385342,0.568757943,0.558640254,0.563940007,462084000
23/3/2015,0.547077119,0.555749415,0.54683624,0.548522512,426012000
24/3/2015,0.539609253,0.549245124,0.537200286,0.545390764,330480000
25/3/2015,0.506847084,0.539368162,0.505160755,0.539368162,542552000
26/3/2015,0.505160809,0.507328896,0.492875095,0.496488574,311920000
27/3/2015,0.515037715,0.516964866,0.499861215,0.508051693,318288000
30/3/2015,0.517205715,0.519855562,0.510701453,0.517446595,253252000
31/3/2015,0.504197299,0.516242135,0.503715541,0.515760376,357276000
1/4/2015,0.506124437,0.507810708,0.497452145,0.506124437,330768000
2/4/2015,0.507328928,0.51046059,0.50299281,0.509015199,192204000
6/4/2015,0.522023618,0.523709889,0.499861101,0.505160793,515864000
7/4/2015,0.526600659,0.532382168,0.519132822,0.522023605,413964000
8/4/2015,0.530455112,0.532382321,0.522023755,0.52708257,366432000
9/4/2015,0.542740941,0.544427213,0.526119047,0.526359926,379432000
10/4/2015,0.548281491,0.54852237,0.541295468,0.543222677,258728000
13/4/2015,0.543222725,0.550208691,0.5408137,0.547077028,236724000
14/4/2015,0.538645566,0.54322262,0.533345815,0.541054533,220276000
15/4/2015,0.545149803,0.549245042,0.537441085,0.540090989,243560000
16/4/2015,0.541777253,0.546595188,0.537922894,0.542018133,155284000
17/4/2015,0.53479135,0.540091102,0.530214294,0.530455174,293636000
20/4/2015,0.532141626,0.540572986,0.531177993,0.537200442,231624000
21/4/2015,0.53141886,0.538645764,0.528768955,0.538645764,230456000
22/4/2015,0.537440956,0.538163651,0.526359698,0.53455023,207420000
23/4/2015,0.535273075,0.540331947,0.521541966,0.527564413,259380000
24/4/2015,0.530695975,0.535272972,0.524673528,0.535032093,240960000
27/4/2015,0.53479135,0.544186342,0.527805327,0.532382383,248456000
28/4/2015,0.537440956,0.539368163,0.528768664,0.533827534,234484000
29/4/2015,0.533345878,0.538886509,0.53117779,0.533586758,195156000
30/4/2015,0.53479135,0.537441198,0.529491598,0.530696111,218844000
1/5/2015,0.548040509,0.54972678,0.536718313,0.53912728,256968000
4/5/2015,0.544667959,0.551172222,0.542981688,0.547558743,200720000
